year,昆   明,曲   靖,玉   溪,保   山,昭   通,丽   江,普   洱,临   沧,楚   雄,红   河,文   山,西双版纳,大   理,德   宏,怒   江,迪   庆,全省
2010,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
2011,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5
2012,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8
2013,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
2014,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5
2015,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
2016,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
2017,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
2018,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5
2019,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2
