year,consumption,GDPperpop,GDP,population,energyproduct,energyconsumption,second_industry,GDP1,GDP2,GDP3
1990,124.55,1224,451.67,3730.6,1594.5,1954.18,157.8,168.13,157.8,125.74
1991,141.07,1377,517.41,3782.1,1649.02,1961.92,179.56,169.48,179.56,168.37
1992,154.88,1625,618.69,3831.6,1763.66,2016.61,219.03,186.8,219.03,212.86
1993,196.67,2030,783.27,3885.2,1811.57,2089.8,325.57,191.45,325.57,266.25
1994,195.53,2515,983.78,3939.2,2073.79,2282.8,428.68,236.25,428.68,318.85
1995,223.71,3083,1222.15,3989.6,2313.65,2640.55,534.78,302.69,534.78,384.68
1996,252.39,3779,1517.69,4041.5,2556.85,2819.43,669.06,360.48,669.06,488.15
1997,263.9,4121,1676.17,4094,2619.97,3428.98,743.82,387.02,743.82,545.33
1998,270.33,4446,1831.33,4143.8,2451.49,3364.49,818.26,403.43,818.26,609.64
1999,296.7,4558,1899.82,4192.4,2267.97,3287.97,811.9,406.87,811.9,681.05
2000,317.25,4770,2011.19,4240.8,2471.77,3468.33,833.25,431.8,833.25,746.14
2001,347.07,5015,2138.31,4287.4,2611.54,3741.03,868.06,444.42,868.06,825.83
2002,393.46,5366,2312.82,4333.1,3259.95,4131.31,934.88,463.44,934.88,914.5
2003,409.79,5870,2556.02,4375.6,3608.45,4449.97,1047.66,494.6,1047.66,1013.76
2004,475.19,7012,3081.91,4415.2,4455.68,5209.81,1281.63,593.59,1281.63,1206.69
2005,557.25,7812,3462.73,4450.4,5353.36,6023.97,1426.42,661.69,1426.42,1374.62
2006,645.62,8929,3988.14,4483,6075.09,6620.57,1705.83,724.4,1705.83,1557.91
2007,745.52,10609,4772.52,4514,6546.65,7132.63,2038.39,837.35,2038.39,1896.78
2008,829.44,12570,5692.12,4543,7595.31,7510.82,2452.75,1020.56,2452.75,2218.81
2009,891.19,13539,6169.75,4571,7851.21,8032.06,2582.53,1067.6,2582.53,2519.62
2010,1004.07,15752,7224.18,4601.6,8822.03,8674.17,3223.49,1108.38,3223.49,2892.31
2011,1204.16,19265,8893.12,4631,9752.64,9540.28,3780.32,1411.01,3780.32,3701.79
2012,1313.62,22195,10309.47,4659,10577.62,10433.68,4419.2,1654.55,4419.2,4235.72
2013,1459.81,25322,11832.31,4686.6,12531.99,10072.09,4939.21,1860.8,4939.21,5032.3
2014,1529.48,27264,12814.59,4713.9,9805.49,10454.83,5281.82,1990.07,5281.82,5542.7
2015,1438.61,28806,13619.17,4741.8,11091.1,10356.56,5416.12,2055.78,5416.12,6147.27
2016,1410.52,30949,14719.95,4770.5,11429.88,10655.85,5649.34,2195.11,5690.16,6903.15
2017,1538.09,34221,16376.34,4800.5,12410.04,11090.97,6204.97,2338.37,6204.97,7833
2018,1679.08,37136,17881.12,4829.5,13055.36,11667.7,6957.44,2498.86,6957.44,8424.82
2019,1801.35,47944,20223.75,4858.3,12582.57197,11876.16443,7961.58,3037.62,7961.58,12224.55
